CD,NM,ROE,PER,PBR,PROFIT,INCOME
A032680,소프트센,"[-9.79, 0.0, 32.32]","[-23.59, -112.64, 5.85]","[2.47, 1.95, 1.61]","[2, 44, 206]","[-34, 9, 158]"
A032685,소프트센우,"[-9.79, 0.0, 32.32]","[-23.59, -112.64, 5.85]","[2.47, 1.95, 1.61]","[2, 44, 206]","[-34, 9, 158]"
A357780,솔브레인,"[0.0, 26.28]","[16.83, 14.59]","[4.27, 3.4]","[1040, 1888]","[649, 1522]"
A253840,수젠텍,"[0.0, -93.85, 44.14]","[-7.25, -6.94, 6.08]","[2.98, 4.92, 2.25]","[-71, 225, 348]","[-96, -411, 361]"
A276040,스코넥,"[0.0, 74.13, 363.06]","[0.0, 0.0, 0.0]",[],[],[]
A330730,스톤브릿지벤처스,"[23.95, 37.24, 43.0]","[0.0, 0.0, 0.0]",[],[],[]
A204630,스튜디오산타클로스,"[-12.79, -25.53, 17.18]","[-13.69, -7.32, 8.81]","[1.73, 2.08, 1.39]","[-49, -47, -10]","[-57, -106, 78]"
A026890,스틱인베스트먼트,"[7.12, 11.76, 28.35]","[20.2, 18.97, 10.57]","[1.25, 1.88, 2.41]","[169, 307, 763]","[111, 200, 581]"
A134790,시디즈,"[27.34, 42.92, 23.47]","[11.32, 6.4, 9.48]","[2.32, 1.91, 1.67]","[86, 197, 127]","[78, 173, 129]"
A065350,신성델타테크,"[4.79, 6.37, 16.62]","[13.89, 30.78, 18.61]","[0.64, 1.99, 2.97]","[102, 148, 439]","[53, 89, 327]"
A035510,신세계 I&C,"[5.44, 33.89, 16.0]","[17.35, 3.1, 8.75]","[0.88, 0.69, 0.94]","[185, 300, 355]","[107, 696, 390]"
A001725,신영증권우,"[6.53, 1.8, 15.34]","[12.75, 36.69, 4.95]","[0.44, 0.34, 0.35]","[1033, 162, 2575]","[780, 203, 1961]"
A001720,신영증권,"[6.53, 1.8, 15.34]","[12.75, 36.69, 4.95]","[0.44, 0.34, 0.35]","[1033, 162, 2575]","[780, 203, 1961]"
A222800,심텍,"[-19.5, 25.12, 35.13]","[-7.95, 11.76, 12.63]","[1.77, 2.58, 3.83]","[-179, 897, 1743]","[-394, 565, 1183]"
A036710,심텍홀딩스,"[-12.11, 18.52, 16.23]","[-4.34, 4.19, 7.69]","[0.54, 0.69, 1.17]","[-171, 884, 1708]","[-386, 535, 1066]"
A160980,싸이맥스,"[4.12, 20.05, 17.77]","[27.44, 9.84, 8.96]","[1.07, 1.69, 1.39]","[20, 230, 324]","[32, 230, 242]"
A208640,썸에이지,"[-76.84, -31.25, 41.95]","[-3.79, -22.32, 20.69]","[2.76, 7.66, 6.52]","[-133, -120, -21]","[-142, -77, 147]"
A050890,쏠리드,"[4.97, -9.87, 15.56]","[48.42, -50.9, 15.75]","[2.3, 5.25, 2.05]","[-35, -157, 61]","[54, -119, 237]"
A352700,씨앤투스성진,"[-3.68, 75.7, 39.4]","[0.0, 0.0, 4.79]",[1.33],[563],[463]
A376290,씨유테크,"[39.5, 18.64, 18.67]","[0.0, 0.0, 6.89]",[1.23],[199],[153]
A096530,씨젠,"[19.01, 125.91, 62.15]","[30.16, 10.09, 5.94]","[5.25, 7.81, 2.91]","[224, 6762, 6667]","[267, 5031, 5376]"
A123860,아나패스,"[-35.69, -132.58, 37.75]","[-13.38, -5.63, 24.02]","[5.38, 15.37, 6.38]","[-236, -224, 78]","[-222, -490, 127]"
A008700,아남전자,"[0.78, 9.11, 19.31]","[360.27, 49.44, 13.94]","[2.74, 4.44, 2.36]","[31, 70, 151]","[4, 53, 133]"
A136410,아셈스,"[25.14, 3.36, 16.98]","[0.0, 0.0, 0.0]",[],[],[]
A127710,아시아경제,"[3.55, 3.17, 18.93]","[13.46, 14.38, 3.48]","[0.49, 0.42, 0.63]","[33, 54, 43]","[41, 43, 254]"
A267850,아시아나IDT,"[-5.44, -6.04, 18.45]","[-29.36, -32.62, 7.62]","[1.67, 2.05, 1.29]","[114, 88, 73]","[-81, -82, 264]"
A339950,아이비김영,"[0.0, -2.51, 16.15]","[0.0, -128.68, 33.29]","[0.0, 2.48, 4.62]","[73, 41, 78]","[64, -8, 40]"
A095340,ISC,"[2.57, 3.68, 15.3]","[31.7, 60.62, 19.04]","[0.8, 2.17, 2.51]","[20, 181, 375]","[32, 55, 301]"
A069920,아이에스이커머스,"[0.0, -20.91, 53.11]","[-6.94, -10.81, 2.86]","[2.19, 2.43, 1.19]","[-47, 1, -78]","[-164, -97, 284]"
A114810,아이원스,"[0.0, -0.24, 23.66]","[-25.99, -655.87, 9.64]","[0.7, 1.63, 1.93]","[10, 95, 366]","[-33, -3, 279]"
A139990,아주스틸,"[9.46, 10.65, 18.76]","[0.0, 0.0, 13.33]",[2.08],[553],[325]
A027360,아주IB투자,"[10.07, 26.2, 17.0]","[9.07, 9.59, 12.16]","[0.87, 2.19, 1.85]","[217, 631, 520]","[163, 494, 393]"
A067160,아프리카TV,"[32.52, 27.56, 39.9]","[23.04, 19.0, 32.81]","[6.33, 4.49, 10.68]","[372, 504, 888]","[342, 363, 709]"
A053800,안랩,"[9.57, 8.8, 18.04]","[34.26, 41.1, 23.49]","[2.77, 3.06, 3.42]","[184, 200, 229]","[191, 185, 420]"
A297570,알로이스,"[-34.19, 19.11, 24.48]","[-9.78, 12.83, 18.45]","[2.52, 2.25, 4.05]","[42, 44, 70]","[-40, 35, 55]"
A361570,알비더블유,"[138.53, 26.97, 17.34]","[0.0, 0.0, 27.14]",[4.05],[96],[76]
A131370,알서포트,"[14.87, -2.08, 34.16]","[16.45, -556.88, 17.33]","[2.23, 11.48, 4.99]","[58, 185, 175]","[89, -12, 245]"
A123750,알톤스포츠,"[-55.55, 29.7, 19.7]","[-1.3, 9.25, 11.06]","[0.99, 2.35, 1.94]","[-106, 53, 49]","[-122, 56, 48]"
A310200,애니플러스,"[-33.34, -33.65, 64.68]","[0.0, -12.02, 7.42]","[0.0, 2.4, 3.23]","[-10, 130]","[-40, 213]"
A052790,액토즈소프트,"[19.76, 11.58, 21.57]","[6.82, 6.87, 5.06]","[1.16, 0.68, 0.93]","[257, 179, 254]","[208, 156, 374]"
A238120,얼라인드,"[0.56, 2.21, 22.87]","[417.48, 152.01, 11.12]","[2.32, 3.32, 2.28]","[-4, -3, 22]","[1, 5, 55]"
A011090,에넥스,"[-6.42, -17.89, 17.95]","[-18.56, -8.13, 15.71]","[1.15, 1.47, 2.34]","[-28, -85, -123]","[-38, -89, 100]"
A270660,에브리봇,"[36.41, -8.23, 25.5]","[4.55, -128.6, 23.41]","[1.4, 7.62, 4.2]","[16, 130, 101]","[15, -9, 95]"
A137310,에스디바이오센서,"[0.0, 139.97, 72.47]","[0.0, 0.0, 5.15]",[2.58],[13640],[10644]
A289080,SV인베스트먼트,"[19.34, -4.26, 15.54]","[13.62, -98.91, 26.92]","[1.91, 4.44, 3.94]","[80, -24, 110]","[80, -24, 89]"
A019550,SBI인베스트먼트,"[12.85, 13.67, 18.45]","[10.19, 14.97, 12.1]","[1.22, 1.9, 2.03]","[115, 139, 222]","[114, 139, 222]"
A034120,SBS,"[3.45, -11.52, 23.21]","[19.27, -6.81, 6.62]","[0.63, 0.81, 1.33]","[126, 745, 1844]","[209, -578, 1448]"
A036120,SCI평가정보,"[25.41, 26.34, 21.4]","[18.46, 25.36, 20.31]","[4.06, 6.02, 3.98]","[69, 83, 101]","[51, 64, 59]"
A031330,에스에이엠티,"[16.62, 17.6, 21.23]","[5.84, 5.58, 7.39]","[0.91, 0.93, 1.4]","[337, 341, 845]","[376, 434, 601]"
A041510,에스엠,"[-2.1, -16.02, 25.48]","[-98.5, -9.94, 13.09]","[2.03, 1.59, 2.82]","[404, 65, 675]","[-162, -803, 1332]"
A306040,에스제이그룹,"[33.03, 20.6, 24.74]","[11.29, 9.9, 9.18]","[2.86, 1.86, 2.02]","[164, 180, 291]","[131, 156, 232]"
A004060,SG세계물산,"[4.81, -5.16, 21.32]","[18.93, -11.83, 2.95]","[0.89, 0.62, 0.57]","[1, -208, -47]","[97, -104, 470]"
A016250,SGC이테크건설,"[6.68, 79.74, 39.96]","[11.73, 1.16, 2.3]","[0.74, 0.84, 0.74]","[129, -364, 691]","[315, 1807, 696]"
A302440,SK바이오사이언스,"[6.49, 13.25, 38.08]","[0.0, 0.0, 46.61]",[10.75],[4742],[3551]
A326030,SK바이오팜,"[-313.66, -135.18, 15.75]","[0.0, -49.1, 117.39]","[34.91, 17.14]","[-2395, 950]","[-2474, 648]"
A000660,SK하이닉스,"[4.23, 9.53, 16.84]","[34.15, 18.14, 9.93]","[1.34, 1.56, 1.45]","[27192, 50126, 124103]","[20091, 47589, 96162]"
A072990,에이치시티,"[12.94, 19.16, 16.39]","[11.33, 10.0, 11.04]","[1.39, 1.74, 1.65]","[72, 104, 111]","[61, 104, 105]"
A036640,HRS,"[1.36, 11.93, 23.05]","[44.52, 10.05, 5.68]","[0.6, 1.11, 1.16]","[16, 103, 179]","[10, 92, 208]"
A011200,HMM,"[-55.46, 8.92, 88.62]","[-1.91, 36.32, 1.96]","[1.04, 2.7, 1.27]","[-2997, 9808, 73775]","[-5898, 1240, 53372]"
A357230,에이치피오,"[0.0, 35.59, 16.38]","[0.0, 0.0, 15.62]",[1.91],[228],[191]
A021080,에이티넘인베스트,"[8.7, 17.04, 54.18]","[13.8, 8.52, 3.86]","[1.17, 1.35, 1.66]","[85, 172, 832]","[67, 146, 660]"
A265520,AP시스템,"[8.57, 19.78, 34.68]","[54.33, 15.22, 6.74]","[4.47, 2.73, 1.98]","[284, 463, 643]","[95, 250, 572]"
A089970,에이피티씨,"[0.0, 31.34, 45.6]","[12.37, 19.84, 11.26]","[2.7, 4.84, 4.18]","[161, 296, 540]","[142, 234, 465]"
A230240,에치에프알,"[1.29, -35.73, 22.3]","[339.19, -13.71, 23.05]","[4.32, 5.48, 4.63]","[22, -259, 218]","[4, -290, 186]"
A230360,에코마케팅,"[32.65, 42.16, 18.39]","[16.52, 18.35, 19.66]","[4.89, 6.74, 3.42]","[378, 589, 401]","[334, 548, 271]"
A086520,에코프로,"[9.33, 8.18, 32.7]","[24.13, 47.07, 10.37]","[1.87, 3.51, 2.49]","[478, 636, 865]","[374, 551, 2789]"
A247540,에코프로비엠,"[12.99, 0.0, 20.26]","[30.37, 75.69, 107.73]","[2.93, 8.03, 20.73]","[371, 548, 1150]","[345, 467, 978]"
A036810,에프에스티,"[17.52, 15.31, 19.16]","[8.58, 28.86, 16.91]","[1.25, 3.7, 2.44]","[189, 248, 226]","[183, 187, 282]"
A950130,엑세스바이오,"[-56.79, 89.16, 102.45]","[-3.43, 15.75, 3.06]","[2.82, 9.56, 2.03]","[-80, 687, 2601]","[-207, 478, 1901]"
A092870,엑시콘,"[-6.82, 14.07, 29.52]","[-13.1, 14.33, 4.76]","[0.91, 1.78, 1.2]","[-52, 83, 63]","[-53, 122, 340]"
A217820,엔에스,"[14.5, 10.41, 16.85]","[11.5, 27.92, 14.2]","[1.54, 2.81, 2.12]","[56, 68, 24]","[43, 38, 80]"
A060250,NHN한국사이버결제,"[20.2, 21.35, 19.22]","[20.83, 56.04, 40.06]","[3.89, 10.62, 7.22]","[321, 398, 432]","[245, 299, 303]"
A096870,엘디티,"[-13.22, 12.78, 18.06]","[-13.44, 16.17, 15.03]","[1.9, 1.94, 2.49]","[-13, 16, 19]","[-14, 13, 22]"
A061970,엘비세미콘,"[24.47, 16.71, 16.16]","[10.48, 23.87, 17.97]","[2.28, 3.71, 2.56]","[504, 428, 442]","[365, 316, 383]"
A290650,엘앤씨바이오,"[13.11, 18.64, 19.34]","[25.79, 70.17, 59.2]","[3.24, 13.06, 9.77]","[90, 73, 132]","[85, 121, 156]"
A108320,LX세미콘,"[8.39, 14.44, 44.49]","[16.8, 13.05, 9.18]","[1.37, 1.78, 3.4]","[473, 942, 3696]","[385, 725, 2964]"
A058630,엠게임,"[21.89, 15.71, 35.74]","[8.47, 15.31, 11.12]","[1.68, 2.18, 3.24]","[72, 106, 184]","[77, 69, 215]"
A058970,엠로,"[8.53, 0.0, 19.49]","[16.26, 17.1, 40.57]","[1.52, 4.12, 5.31]","[9, 65, 67]","[10, 38, 54]"
A179290,엠아이텍,"[7.88, 12.89, 20.39]","[34.88, 21.1, 13.8]","[2.65, 2.58, 2.6]","[34, 65, 132]","[37, 67, 122]"
A347890,엠투아이,"[16.2, 20.58, 16.0]","[0.0, 13.88, 15.34]","[2.47, 2.34]","[108, 115]","[100, 100]"
A065150,엠피대산,"[4.21, -68.72, 38.58]","[131.29, -5.66, 7.48]","[4.95, 5.02, 2.41]","[-25, -74, -9]","[-28, -226, 104]"
A143540,영우디에스피,"[-10.87, 22.49, 15.7]","[-42.8, 10.39, 11.26]","[3.93, 1.98, 1.6]","[136, 79, 85]","[-16, 77, 88]"
A241790,오션브릿지,"[17.69, 20.23, 16.69]","[9.56, 12.73, 12.46]","[1.58, 2.35, 1.93]","[128, 154, 160]","[114, 155, 146]"
A353590,오토앤,"[0.0, 146.73, 16.75]","[0.0, 0.0, 0.0]",[],[],[]
A309930,오하임아이엔티,"[0.0, 1.17, 15.7]","[0.0, 316.31, 26.05]","[0.0, 2.68, 3.81]","[22, 40, 37]","[17, 2, 37]"
A232140,와이아이케이,"[-12.14, 12.0, 18.55]","[-16.78, 24.24, 11.28]","[2.16, 2.45, 1.8]","[-118, 248, 546]","[-121, 205, 509]"
A273640,와이엠텍,"[7.26, 16.3, 17.3]","[0.0, 0.0, 28.88]",[8.34],[70],[64]
A037270,YG PLUS,"[-3.48, -6.94, 19.57]","[-24.69, -47.73, 22.97]","[0.88, 3.4, 3.76]","[45, 61, 256]","[-42, -75, 226]"
A040300,YTN,"[-1.75, 4.18, 23.89]","[-26.45, 16.16, 2.4]","[0.47, 0.66, 0.51]","[5, 27, 34]","[-33, 80, 519]"
A041190,우리기술투자,"[15.11, 30.42, 147.4]","[19.88, 14.3, 1.24]","[2.54, 3.37, 0.98]","[133, 366, 7926]","[106, 286, 6194]"
A082850,우리바이오,"[5.0, 16.47, 24.92]","[10.77, 16.4, 6.11]","[0.52, 2.42, 1.32]","[265, 390, 428]","[61, 170, 440]"
A153490,우리이앤엘,"[8.26, -2.52, 27.35]","[11.09, -50.76, 4.78]","[0.86, 1.26, 1.2]","[36, 34, 135]","[48, -15, 179]"
A037400,우리조명,"[1.69, 7.75, 23.52]","[25.67, 9.05, 3.34]","[0.4, 0.61, 0.65]","[271, 403, 442]","[54, 173, 545]"
A049800,우진플라임,"[-22.8, 13.7, 31.51]","[-2.54, 7.8, 4.06]","[0.66, 1.0, 1.11]","[-83, 94, 166]","[-136, 78, 225]"
A016880,웅진,"[-112.11, -47.3, 49.76]","[-0.68, -3.68, 5.93]","[1.82, 2.71, 2.24]","[752, 207, 430]","[-2375, -257, 342]"
A240810,원익IPS,"[9.16, 15.91, 19.82]","[40.5, 22.2, 14.31]","[3.05, 3.22, 2.55]","[411, 1406, 1641]","[429, 978, 1451]"
A074600,원익QnC,"[1.23, 11.44, 21.52]","[157.36, 21.64, 12.8]","[1.93, 2.34, 2.44]","[274, 412, 868]","[36, 155, 625]"
A131390,원익피앤이,"[21.81, 20.17, 17.19]","[9.9, 17.0, 21.14]","[1.97, 3.02, 3.37]","[178, 206, 150]","[159, 187, 195]"
A376980,원티드랩,"[0.0, 36.8, 171.21]","[0.0, 0.0, 97.82]",[10.63],[61],[30]
A101160,월덱스,"[24.22, 21.96, 26.48]","[7.02, 13.32, 14.14]","[1.52, 2.67, 3.29]","[234, 358, 403]","[194, 218, 334]"
A095270,웨이브일렉트로,"[-152.52, -196.84, 128.95]","[-6.01, -2.95, 1.34]","[23.25, 5.53, 1.02]","[-245, -44, 10]","[-394, -253, 580]"
A069080,웹젠,"[12.74, 21.83, 18.51]","[13.51, 14.17, 11.75]","[1.43, 2.44, 1.72]","[518, 1083, 1030]","[422, 863, 869]"
A053580,웹케시,"[23.77, 28.66, 17.87]","[30.98, 27.87, 24.43]","[5.29, 7.12, 3.65]","[93, 143, 187]","[93, 174, 149]"
<<<<<<< HEAD
A112040,위메이드,"[-4.03, -2.81, 69.74]","[-49.79, -93.13, 19.3]","[2.08, 2.49, 9.42]","[-93, -125, 974]","[-287, -180, 3081]"
=======
A112040,위메이드,"[-4.03, -2.81, 69.74]","[-49.79, -93.13, 19.3]","[2.08, 2.49, 9.43]","[-93, -125, 974]","[-287, -180, 3081]"
>>>>>>> 92259ae0bf36b047b95c344b68dab7f4eb7924f4
A065370,위세아이텍,"[27.29, 18.82, 16.0]","[18.54, 22.43, 34.48]","[4.47, 3.06, 5.08]","[29, 37, 58]","[27, 34, 40]"
A014830,유니드,"[9.87, 10.29, 20.51]","[6.15, 5.58, 4.89]","[0.58, 0.54, 0.88]","[848, 962, 1683]","[675, 768, 1824]"
A036200,유니셈,"[18.57, 15.25, 23.11]","[7.56, 12.49, 11.73]","[1.24, 1.71, 2.35]","[240, 322, 437]","[213, 205, 382]"
A077500,유니퀘스트,"[12.68, 10.8, 23.53]","[7.14, 16.75, 5.29]","[0.83, 1.71, 1.07]","[69, 90, 245]","[224, 205, 604]"
A264450,유비쿼스,"[13.24, 16.92, 25.09]","[13.07, 15.78, 8.09]","[1.65, 2.49, 1.83]","[122, 190, 319]","[111, 161, 288]"
A069330,유아이디,"[0.0, -67.02, 36.13]","[-1.63, -1.53, 7.24]","[1.29, 1.35, 2.11]","[-54, -28, 60]","[-138, -87, 51]"
A072130,유엔젤,"[-12.8, -1.67, 33.1]","[-13.71, -88.44, 4.74]","[1.64, 1.28, 1.21]","[-23, 12, 31]","[-51, -12, 146]"
A388720,유일로보틱스,"[0.0, 33.25, 26.02]","[0.0, 0.0, 0.0]",[],[],[]
A084370,유진테크,"[2.45, 1.47, 22.86]","[65.56, 219.26, 19.62]","[1.55, 3.18, 3.95]","[238, 223, 739]","[108, 99, 632]"
A191410,육일씨엔에쓰,"[-19.27, -81.21, 16.69]","[-3.52, -1.63, 14.77]","[0.75, 2.18, 2.25]","[-92, -172, -113]","[-78, -215, 30]"
A025820,이구산업,"[-3.26, 1.86, 18.72]","[-17.72, 34.92, 5.77]","[0.59, 0.65, 0.99]","[6, 59, 356]","[-34, 19, 211]"
A088390,이녹스,"[-9.23, 7.54, 32.18]","[-5.01, 11.82, 5.81]","[0.46, 0.81, 1.53]","[-51, 106, 242]","[-189, 124, 545]"
A272290,이녹스첨단소재,"[21.1, 13.17, 31.38]","[14.73, 17.67, 11.28]","[2.78, 2.16, 2.94]","[465, 438, 967]","[345, 252, 802]"
A264850,이랜시스,"[5.78, 12.79, 18.99]","[48.82, 18.28, 16.03]","[2.12, 2.12, 2.69]","[41, 43, 69]","[11, 34, 62]"
A054210,이랜텍,"[7.92, -10.3, 18.76]","[9.71, -12.9, 9.66]","[0.74, 1.45, 1.65]","[363, 150, 342]","[121, -160, 339]"
A139480,이마트,"[2.76, 4.05, 16.25]","[15.2, 11.67, 2.68]","[0.39, 0.45, 0.41]","[1507, 2372, 3168]","[2238, 3626, 15891]"
A078020,이베스트투자증권,"[11.23, 20.09, 19.27]","[5.5, 3.54, 3.67]","[0.55, 0.57, 0.6]","[705, 1535, 2258]","[515, 1260, 1608]"
A005950,이수화학,"[-3.26, -29.51, 35.21]","[-16.8, -3.24, 4.18]","[0.55, 1.24, 1.39]","[66, -368, 821]","[-220, -1431, 965]"
A066980,이엔코퍼레이션,"[0.84, -50.7, 27.26]","[129.62, -2.87, 8.21]","[1.08, 2.16, 1.88]","[15, 3, 40]","[40, -472, 192]"
A123570,이엠넷,"[13.02, 11.68, 34.08]","[10.96, 13.1, 5.88]","[1.35, 1.45, 1.67]","[77, 39, 99]","[81, 79, 263]"
A091120,이엠텍,"[0.21, 0.51, 16.48]","[348.25, 210.54, 14.73]","[0.74, 0.98, 2.09]","[-56, 21, 371]","[-4, 6, 341]"
A039030,이오테크닉스,"[3.17, 5.38, 16.29]","[105.13, 67.51, 20.48]","[3.27, 3.54, 3.05]","[71, 385, 781]","[118, 216, 723]"
A092130,이크레더블,"[26.81, 23.4, 22.98]","[16.37, 21.69, 17.04]","[4.16, 4.89, 3.75]","[167, 169, 182]","[137, 131, 139]"
A000760,이화산업,"[-4.35, -2.65, 38.34]","[-9.6, -16.78, 0.92]","[0.43, 0.45, 0.3]","[-17, -35, -50]","[-48, -37, 592]"
A041830,인바디,"[15.47, 12.09, 20.39]","[15.84, 13.55, 9.31]","[2.25, 1.51, 1.64]","[276, 191, 359]","[204, 176, 340]"
A101140,인바이오젠,"[29.38, -62.65, 73.56]","[7.52, -4.93, 2.15]","[1.75, 3.4, 1.37]","[-22, -53, -79]","[131, -451, 941]"
A079950,인베니아,"[2.57, -11.09, 26.12]","[51.13, -12.72, 5.04]","[1.26, 1.41, 1.1]","[41, 48, 93]","[12, -48, 124]"
A277410,인산가,"[11.45, 14.38, 15.0]","[15.91, 11.1, 10.17]","[1.66, 1.5, 1.36]","[40, 57, 82]","[32, 48, 64]"
A211050,인카금융서비스,"[0.0, 58.03, 49.26]","[7.79, 4.22, 5.76]","[1.92, 1.9, 2.28]","[28, 147, 211]","[34, 113, 164]"
A216050,인크로스,"[14.48, 17.55, 25.21]","[21.74, 35.35, 20.19]","[2.81, 5.24, 4.11]","[122, 148, 214]","[93, 123, 211]"
A049070,인탑스,"[8.5, 8.95, 15.0]","[6.22, 12.84, 7.38]","[0.51, 1.1, 0.99]","[707, 650, 876]","[604, 547, 808]"
A064290,인텍플러스,"[28.49, 35.22, 55.58]","[11.3, 21.41, 18.16]","[2.74, 6.26, 7.81]","[47, 70, 275]","[54, 92, 226]"
A071200,인피니트헬스케어,"[8.95, 7.6, 22.13]","[19.42, 25.12, 7.72]","[1.66, 1.84, 1.54]","[71, 73, 74]","[73, 67, 226]"
A950140,잉글우드랩,"[3.85, 5.06, 21.18]","[38.71, 32.17, 11.39]","[1.44, 1.63, 2.11]","[67, 79, 170]","[23, 31, 150]"
A040420,정상제이엘에스,"[12.2, 10.48, 20.03]","[15.47, 14.72, 8.36]","[1.77, 1.47, 1.51]","[134, 88, 170]","[77, 67, 136]"
A122310,제노레이,"[25.32, 16.13, 19.71]","[7.68, 13.95, 10.06]","[1.82, 2.09, 1.79]","[147, 111, 150]","[132, 102, 143]"
A361390,제노코,"[-11.57, 22.71, 29.66]","[0.0, 0.0, 35.11]",[7.02],[43],[58]
A225220,제놀루션,"[-5.02, 100.25, 47.94]","[-88.9, 3.49, 4.39]","[9.48, 2.14, 1.74]","[1, 540, 413]","[-3, 320, 344]"
A287410,제이시스메디칼,"[0.0, 190.55, 42.44]","[0.0, 0.0, 40.48]","[0.0, 0.0, 11.74]","[27, 114, 236]","[11, 75, 135]"
A137950,제이씨케미칼,"[13.79, 8.03, 28.18]","[11.11, 18.97, 6.23]","[1.4, 1.45, 1.53]","[130, 192, 398]","[117, 74, 334]"
A194370,제이에스코퍼레이션,"[5.26, 1.54, 27.4]","[20.39, 42.45, 5.91]","[1.01, 0.62, 1.34]","[111, 79, 610]","[82, 23, 483]"
A026040,제이에스티나,"[-57.29, -36.2, 44.21]","[-2.01, -2.5, 3.21]","[1.42, 1.07, 1.11]","[-280, -137, 14]","[-334, -138, 176]"
A094970,제이엠티,"[1.74, 9.39, 22.81]","[67.05, 9.15, 4.67]","[1.16, 0.84, 0.94]","[20, 115, 163]","[10, 53, 152]"
A035900,JYP Ent.,"[21.91, 17.29, 31.43]","[27.36, 46.15, 26.68]","[5.03, 6.96, 6.8]","[435, 441, 579]","[312, 296, 675]"
A089790,제이티,"[0.0, 17.73, 35.65]","[14.61, 25.67, 7.86]","[2.03, 4.06, 2.31]","[62, 53, 112]","[38, 52, 139]"
A030000,제일기획,"[15.09, 16.11, 15.58]","[20.04, 15.06, 15.88]","[2.57, 2.07, 2.07]","[2058, 2049, 2482]","[1395, 1583, 1676]"
A216080,제테마,"[-101.92, -24.71, 22.65]","[-9.59, -42.4, 33.21]","[5.03, 9.68, 6.66]","[-107, -56, 23]","[-147, -93, 109]"
A064800,젬백스링크,"[2.76, 6.89, 20.42]","[29.47, 11.13, 4.03]","[0.83, 0.74, 0.75]","[59, 37, 17]","[34, 97, 345]"
A036930,주성엔지니어링,"[12.28, -3.52, 48.74]","[14.43, -48.2, 6.96]","[1.64, 1.74, 2.74]","[291, -250, 1026]","[271, -82, 1455]"
A366030,공구우먼,"[19.87, 22.8, 36.23]","[0.0, 0.0, 0.0]",[],[],[]
A023450,동남합성,"[26.23, 16.1, 24.61]","[5.05, 17.91, 19.58]","[1.21, 3.61, 4.93]","[98, 135, 149]","[178, 99, 117]"
A239340,줌인터넷,"[0.0, 4.49, 17.52]","[-9.6, 132.69, 26.22]","[4.68, 5.9, 4.2]","[9, 14, 67]","[-118, 8, 39]"
A263860,지니언스,"[9.43, 9.96, 16.23]","[15.59, 18.18, 19.43]","[1.35, 1.61, 2.64]","[23, 26, 59]","[31, 34, 62]"
A382800,지앤비에스엔지니어링,"[22.01, 24.29, 26.88]","[0.0, 0.0, 11.6]",[2.56],[106],[103]
A007070,GS리테일,"[6.22, 7.5, 25.58]","[22.7, 15.75, 3.39]","[1.38, 1.15, 0.76]","[2388, 2526, 2085]","[1436, 1545, 8013]"
A311320,지오엘리먼트,"[7.51, 12.2, 16.84]","[0.0, 0.0, 33.85]",[5.5],[61],[53]
A007370,진양제약,"[3.84, 11.38, 16.79]","[32.06, 16.07, 8.86]","[1.13, 1.62, 1.2]","[-2, 43, 70]","[16, 52, 95]"
A002785,진흥기업우B,"[23.08, 18.86, 36.86]","[16.65, 18.65, 5.98]","[3.48, 3.2, 1.87]","[280, 147, 433]","[203, 204, 534]"
A002787,진흥기업2우B,"[23.08, 18.86, 36.86]","[16.65, 18.65, 5.98]","[3.48, 3.2, 1.87]","[280, 147, 433]","[203, 204, 534]"
A002780,진흥기업,"[23.08, 18.86, 36.86]","[16.65, 18.65, 5.98]","[3.48, 3.2, 1.87]","[280, 147, 433]","[203, 204, 534]"
A278280,천보,"[14.49, 12.57, 17.19]","[26.29, 66.7, 79.64]","[2.92, 7.99, 12.15]","[272, 301, 506]","[231, 274, 480]"
A052300,초록뱀컴퍼니,"[-20.04, 15.25, 32.5]","[-3.61, 5.2, 1.65]","[0.9, 0.79, 0.5]","[-38, -6, -15]","[-177, 159, 656]"
A094360,칩스앤미디어,"[14.91, 5.96, 17.76]","[15.62, 60.99, 36.45]","[2.2, 3.61, 6.02]","[36, 24, 52]","[45, 19, 63]"
A293490,카카오게임즈,"[2.64, 12.12, 34.06]","[0.0, 33.35, 12.89]","[3.39, 3.35]","[665, 1119]","[675, 5202]"
A035720,카카오,"[-5.81, 2.7, 17.1]","[-42.82, 219.25, 35.92]","[2.41, 5.32, 4.89]","[2068, 4559, 5949]","[-3419, 1734, 16462]"
A307930,컴퍼니케이,"[22.88, 17.98, 28.43]","[12.86, 10.72, 6.58]","[2.37, 1.81, 1.67]","[108, 128, 212]","[85, 99, 189]"
A119650,KC코트렐,"[2.52, -148.07, 38.07]","[46.21, -2.19, 8.33]","[1.18, 12.45, 2.21]","[85, -447, 46]","[7, -639, 120]"
A044450,KSS해운,"[8.79, 4.78, 18.34]","[7.66, 18.28, 4.9]","[0.62, 0.86, 0.78]","[528, 507, 581]","[234, 131, 561]"
A060720,KH바텍,"[-6.36, -7.58, 16.95]","[-42.34, -35.02, 18.92]","[2.75, 2.62, 2.78]","[70, 35, 269]","[-116, -138, 331]"
A272110,케이엔제이,"[26.22, -20.41, 16.83]","[13.82, -17.91, 22.24]","[2.77, 4.09, 3.11]","[38, 26, 44]","[44, -50, 55]"
A122450,KMH,"[7.13, 13.44, 15.62]","[8.05, 12.64, 9.38]","[0.56, 1.55, 1.44]","[449, 603, 741]","[246, 381, 641]"
